,loss,val_loss,accuracy,val_accuracy
0,2.060122489929199,1.648147463798523,0.24900992214679718,0.48755860328674316
1,1.6153815984725952,1.360113501548767,0.43886300921440125,0.5852866768836975
2,1.31327223777771,1.3331043720245361,0.5464245080947876,0.6217093467712402
3,1.1091388463974,1.2670642137527466,0.6215578317642212,0.6739992499351501
4,0.955753743648529,1.0656232833862305,0.6792857050895691,0.7219617962837219
5,0.8219852447509766,1.0545321702957153,0.7297661900520325,0.7399927973747253
6,0.6963214874267578,0.9716756343841553,0.7745043039321899,0.7627118825912476
7,0.5835555791854858,1.091738224029541,0.8138300180435181,0.7324197888374329
8,0.5144141316413879,1.108684778213501,0.8336314558982849,0.7298954129219055
9,0.45882663130760193,1.034793496131897,0.8479313850402832,0.7692030072212219
10,0.4128483831882477,0.765254557132721,0.8622280359268188,0.8204110860824585
11,0.37816399335861206,0.6600229144096375,0.8712179064750671,0.8344752788543701
12,0.3597067892551422,0.7788071036338806,0.8757953643798828,0.8225748538970947
13,0.3401452302932739,0.6915003657341003,0.8809008598327637,0.8276234865188599
14,0.32347187399864197,0.7501726150512695,0.8862835168838501,0.8222141861915588
15,0.31432753801345825,0.6430820226669312,0.8875409364700317,0.8510638475418091
16,0.3041452169418335,0.654276967048645,0.8895540833473206,0.844933271408081
17,0.29701924324035645,0.7035273909568787,0.8912702202796936,0.8398845791816711
18,0.2920234203338623,0.6301381587982178,0.8933724761009216,0.8589974641799927
19,0.2864932417869568,0.5890660881996155,0.8940225839614868,0.866209864616394
20,0.2836928069591522,0.6012294292449951,0.8945374488830566,0.8593580722808838
21,0.27892693877220154,0.6112675070762634,0.8961017727851868,0.8571943640708923
22,0.2776201069355011,0.617768406867981,0.8965373635292053,0.8597187399864197
23,0.27321016788482666,0.6074389815330505,0.8979201912879944,0.8586368560791016
24,0.2706175744533539,0.5837822556495667,0.8983756303787231,0.8640461564064026
25,0.0,0.5989049077033997,0.0,0.8602430820465088
